10,121
11.756,120.986
13.511,120.973
15.267,120.959
17.022,120.946
18.778,120.932
20.533,120.919
22.289,120.905
24.045,120.892
25.8,120.878
27.556,120.865
29.311,120.851
31.067,120.838
32.822,120.824
34.578,120.81
36.333,120.797
38.089,120.783
39.845,120.77
41.6,120.756
43.356,120.743
45.111,120.729
46.867,120.716
48.622,120.702
50.378,120.689
52.134,120.675
53.889,120.662
55.645,120.648
57.4,120.634
59.156,120.621
60.911,120.607
62.667,120.594
64.422,120.58
66.178,120.567
67.934,120.553
69.689,120.54
71.445,120.526
73.2,120.513
74.956,120.499
76.711,120.486
78.467,120.472
80.223,120.458
81.978,120.445
83.734,120.431
85.489,120.418
87.245,120.404
89,120.391
90.756,120.377
92.511,120.364
94.267,120.35
96.023,120.337
97.778,120.323
99.534,120.31
101.289,120.296
103.045,120.282
104.8,120.269
106.556,120.255
108.312,120.242
110.067,120.228
111.823,120.215
113.578,120.201
115.334,120.188
117.089,120.174
118.845,120.161
120.6,120.147
122.356,120.134
124.112,120.12
125.867,120.106
127.623,120.093
129.378,120.079
131.134,120.066
132.889,120.052
134.645,120.039
136.401,120.025
138.156,120.012
139.912,119.998
141.667,119.985
143.423,119.971
145.178,119.957
146.934,119.944
148.69,119.93
150.445,119.917
152.201,119.903
153.956,119.89
155.712,119.876
157.467,119.863
159.223,119.849
160.978,119.836
162.734,119.822
164.49,119.809
166.245,119.795
168.001,119.781
169.756,119.768
171.512,119.754
173.267,119.741
175.023,119.727
176.779,119.714
178.534,119.7
180.29,119.687
182.045,119.673
183.801,119.66
185.556,119.646
187.312,119.633
189.067,119.619
190.823,119.605
192.579,119.592
194.334,119.578
196.09,119.565
197.845,119.551
199.601,119.538
201.356,119.524
203.112,119.511
204.868,119.497
206.623,119.484
208.379,119.47
210.134,119.457
211.89,119.443
213.645,119.429
215.401,119.416
217.156,119.402
218.912,119.389
220.668,119.375
222.423,119.362
224.179,119.348
225.934,119.335
227.69,119.321
229.445,119.308
231.201,119.294
232.957,119.281
234.712,119.267
236.468,119.253
238.223,119.24
239.979,119.226
241.734,119.213
243.49,119.199
245.245,119.186
247.001,119.172
248.757,119.159
250.512,119.145
252.268,119.132
254.023,119.118
255.779,119.105
257.534,119.091
259.29,119.077
261.046,119.064
262.801,119.05
264.557,119.037
266.312,119.023
268.068,119.01
269.823,118.996
271.579,118.983
273.335,118.969
275.09,118.956
276.846,118.942
278.601,118.929
280.357,118.915
282.112,118.901
283.868,118.888
285.623,118.874
287.379,118.861
289.135,118.847
290.89,118.834
292.646,118.82
294.401,118.807
296.157,118.793
297.912,118.78
299.668,118.766
301.424,118.753
303.179,118.739
304.935,118.725
306.69,118.712
308.446,118.698
310.201,118.685
311.957,118.671
313.712,118.658
315.468,118.644
317.224,118.631
318.979,118.617
320.735,118.604
322.49,118.59
324.246,118.577
326.001,118.563
327.757,118.549
